bikes_allowed,block_id,direction_id,headsign,name,wheelchair_accessible
1,C57-139,1,Haymarket via Kenmore,,1
1,C57-139,0,Watertown via Kenmore,,1
1,C57-145,1,Kenmore,,1
1,C57-145,0,Watertown Yard,,1
1,C57-145,1,Kenmore,,1
1,C57-145,0,Watertown Yard,,1
1,C57-145,1,Kenmore,,1
1,C57-145,0,Watertown Yard,,1
1,C57-145,1,Kenmore,,1
1,C57-140,0,Watertown Yard,,1
1,C57-140,1,Kenmore,,1
1,C57-140,0,Watertown Yard,,1
1,C57-140,1,Kenmore,,1
1,C57-147,1,Kenmore,,1
1,C57-147,0,Watertown Yard,,1
1,C57-147,1,Kenmore,,1
1,C57-147,0,Watertown Yard,,1
1,C57-142,1,Kenmore,,1
1,C57-142,0,Watertown Yard,,1
1,C57-142,1,Kenmore,,1
1,C57-147,0,Watertown Yard,,1
1,C57-147,1,Kenmore,,1
1,C57-147,0,Watertown Yard,,1
1,C57-147,1,Kenmore,,1
1,C57-140,0,Watertown Yard,,1
1,C57-142,0,Watertown Yard,,1
1,C57-140,1,Kenmore,,1
1,C57-143,1,Kenmore,,1
1,C57-142,1,Kenmore,,1
1,C57-140,0,Watertown Yard,,1
1,C57-143,0,Watertown Yard,,1
1,C57-142,0,Watertown Yard,,1
1,C57-140,1,Kenmore,,1
1,C57-143,1,Kenmore,,1
1,C57-142,1,Kenmore,,1
1,C57-140,0,Watertown Yard,,1
1,C57-143,0,Watertown Yard,,1
1,C57-142,0,Watertown Yard,,1
1,C57-140,1,Kenmore,,1
1,C57-143,1,Kenmore,,1
1,C57-146,1,Kenmore,,1
1,C57-147,1,Kenmore,,1
1,C57-147,1,Kenmore,,1
1,C57-147,0,Watertown Yard,,1
1,C57-147,0,Watertown Yard,,1
1,C57-147,1,Kenmore,,1
1,C57-147,1,Kenmore,,1
1,C57-147,0,Watertown Yard,,1
1,C57-147,1,Kenmore,,1
1,C57-147,0,Watertown Yard,,1
1,C57-140,0,Watertown Yard,,1
1,C57-143,0,Watertown Yard,,1
1,C57-146,0,Watertown Yard,,1
1,C57-140,1,Kenmore,,1
1,C57-143,1,Kenmore,,1
1,C57-147,0,Watertown Yard,,1
1,C57-146,1,Kenmore,,1
1,C57-147,1,Kenmore,,1
1,C57-140,0,Watertown Yard,,1
1,C57-143,0,Watertown Yard,,1
1,C57-146,0,Watertown Yard,,1
1,C57-147,0,Watertown Yard,,1
1,C57-140,1,Kenmore,,1
1,C57-146,1,Kenmore,,1
1,C57-143,1,Kenmore,,1
1,C57-149,1,Kenmore,,1
1,C57-149,0,Watertown Yard,,1
1,C57-149,1,Kenmore,,1
1,C57-149,1,Kenmore,,1
1,C57-149,1,Kenmore,,1
1,C57-149,0,Watertown Yard,,1
1,C57-149,0,Watertown Yard,,1
1,C57-149,0,Watertown Yard,,1
1,C57-150,1,Kenmore,,1
1,C57-150,0,Watertown Yard,,1
1,C57-150,1,Kenmore,,1
1,C57-150,1,Kenmore,,1
1,C57-150,0,Watertown Yard,,1
1,C57-150,0,Watertown Yard,,1
1,C57-150,0,Watertown Yard,,1
1,C57-150,1,Kenmore,,1
1,C57-140,0,Watertown Yard,,1
1,C57-147,1,Kenmore,,1
1,C57-149,1,Kenmore,,1
1,C57-143,0,Watertown Yard,,1
1,C57-146,0,Watertown Yard,,1
1,C57-140,1,Kenmore,,1
1,C57-147,0,Watertown Yard,,1
1,C57-149,0,Watertown Yard,,1
1,C57-143,1,Kenmore,,1
1,C57-146,1,Kenmore,,1
1,C57-140,0,Watertown Yard,,1
1,C57-143,0,Watertown Yard,,1
1,C57-147,1,Kenmore,,1
1,C57-149,1,Kenmore,,1
1,C57-148,1,Kenmore,,1
1,C57-148,0,Watertown Yard,,1
1,C57-148,0,Watertown Yard,,1
1,C57-148,1,Kenmore,,1
1,C57-148,0,Watertown Yard,,1
1,C57-148,1,Kenmore,,1
1,C57-148,1,Kenmore,,1
1,C57-148,1,Kenmore,,1
1,C57-148,0,Watertown Yard,,1
1,C57-148,0,Watertown Yard,,1
1,C57-148,1,Kenmore,,1
1,C57-148,0,Watertown Yard,,1
1,C57-139,1,Kenmore,,1
1,C57-148,1,Kenmore,,1
1,C57-139,0,Watertown Yard,,1
1,C57-148,0,Watertown Yard,,1
1,C57-148,0,Watertown Yard,,1
1,C57-139,1,Kenmore,,1
1,C57-139,1,Kenmore,,1
1,C57-139,0,Watertown Yard,,1
1,C57-139,0,Watertown Yard,,1
1,C57-139,1,Kenmore,,1
1,C57-146,0,Watertown Yard,,1
1,C57-140,1,Kenmore,,1
1,C57-147,0,Watertown Yard,,1
1,C57-149,0,Watertown Yard,,1
1,C57-143,1,Kenmore,,1
1,C57-146,1,Kenmore,,1
1,C57-147,1,Kenmore,,1
